,Country,Sub-national region,latitude,longitude,MPI_Region,PercPoverty,popDensity,precipitation,TimeToCity,Temperature
736,Nigeria,Ebonyi,6.177973,7.9592863,0.265,56.0,478.558349609375,2006.0,94.0,28.0
737,Nigeria,Edo,6.5438101,5.8987139,0.08,19.2,70.3333358764649,1676.0,70.0,27.0
738,Nigeria,Ekiti,7.6655813,5.3102505,0.051,12.9,382.950012207031,1346.5,193.0,26.0
739,Nigeria,Enugu,6.4583661,7.5463885,0.123,28.8,1110.0,1734.0,11.0,31.0
740,Nigeria,FCT-Abuja,8.8556838,7.179026,0.108,23.5,78.658332824707,1390.0,211.0,28.0
741,Nigeria,Gombe,10.279142,11.1730615,0.471,76.9,256.896667480469,1118.5,3.0,37.0
742,Nigeria,Imo,5.6038994,7.0068393,0.083,19.8,1211.58337402344,2076.0,38.0,27.0
743,Nigeria,Jigawa,12.4460001,9.7232673,0.552,88.4,139.0,743.5,54.0,36.0
744,Nigeria,Kaduna,10.5104642,7.4165053,0.311,56.5,5084.1748046875,1517.0,5.0,36.0
745,Nigeria,Kano,12.0021794,8.5919561,0.434,76.4,1346.0283203125,955.5,10.0,35.0
746,Nigeria,Katsina,12.9815608,7.6222665,0.52,82.2,1070.15002441406,853.5,14.0,37.0
747,Nigeria,Kebbi,11.6781241,4.0695454,0.553,86.0,103.918334960938,1026.5,133.0,36.0
748,Nigeria,Kogi,7.9075486,6.5783387,0.113,26.1,39.0933341979981,1216.0,358.0,30.0
749,Nigeria,Kwara,8.9847995,4.5624426,0.099,23.7,36.0,1199.0,250.0,32.0
750,Nigeria,Lagos,6.5243793,3.3792057,0.035,8.5,18476.734375,1595.5,38.0,29.0
751,Nigeria,Nasarawa,8.5705151,8.3088441,0.251,52.4,85.2266693115234,1334.5,166.0,32.0
752,Nigeria,Niger,17.607789,8.081666,0.324,61.2,0.833333313465118,146.0,376.0,39.0
753,Nigeria,Ogun,6.907529,3.5812692,0.112,26.4,211.945007324219,1398.5,166.0,26.0
754,Nigeria,Ondo,6.8959293,4.8935627,0.127,27.9,112.166664123535,1560.5,37.0,26.0
755,Nigeria,Osun,7.5875843,4.5624426,0.043,10.9,148.854995727539,1373.0,95.0,25.0
756,Nigeria,Oyo,7.8429579,3.9368439,0.155,29.4,155.123321533203,1240.0,4.0,34.0
757,Nigeria,Plateau,9.244568,9.3673084,0.273,51.6,93.3333358764648,1184.5,270.0,29.0
758,Nigeria,Rivers,4.8580767,6.9209135,0.088,21.1,590.724975585938,2372.0,99.0,26.0
